id,text,labels
BCR-03.1,"Are strategies developed to reduce the impact of, withstand, and recover from business disruptions in accordance with risk appetite?","Business disruptions, Recovery strategies, Impact reduction, Risk appetite, Resilience planning"
BCR-04.1,"Are operational resilience strategies and capability results incorporated to establish, document, approve, communicate, apply, evaluate, and maintain a business continuity plan?","Operational resilience, Resilience strategies, Capability results, Business continuity plan, Plan documentation, Plan approval, Plan communication, Plan implementation, Plan evaluation, Plan maintenance"
BCR-05.1,"Is relevant documentation developed, identified, and acquired to support business continuity and operational resilience plans?","Documentation development, Documentation identification, Documentation acquisition, Business continuity plans, Operational resilience plans"
BCR-05.2,Is business continuity and operational resilience documentation available to authorized stakeholders?,"business continuity, operational resilience, documentation availability, authorized stakeholders"
BCR-05.3,Is business continuity and operational resilience documentation reviewed periodically?,"Business continuity, Operational resilience, Documentation review, Periodic review"
BCR-06.1,Are the business continuity and operational resilience plans exercised and tested at least annually and when significant changes occur?,"Business continuity plans, Operational resilience plans, Plan exercises, Plan testing, Annual testing, Significant changes"
BCR-07.1,Do business continuity and resilience procedures establish communication with stakeholders and participants?,"Business continuity, Resilience procedures, Stakeholder communication, Participant communication"
BCR-08.1,Is cloud data periodically backed up?,"Cloud data, Periodic backups, Data backup"
BCR-08.2,"Is the confidentiality, integrity, and availability of backup data ensured?","Backup data, Confidentiality, Integrity, Availability, CIA triad"
BCR-08.3,Can backups be restored appropriately for resiliency?,"Backup restoration, Resiliency testing"
BCR-09.1,"Is a disaster response plan established, documented, approved, applied, evaluated, and maintained to ensure recovery from natural and man-made disasters?","Disaster response plan, Plan documentation, Plan approval, Plan implementation, Plan evaluation, Plan maintenance, Disaster recovery, Natural disasters, Man-made disasters"
BCR-09.2,"Is the disaster response plan updated at least annually, and when significant changes occur?","Disaster response plan, Annual updates, Significant changes, Plan maintenance"
BCR-10.1,Is the disaster response plan exercised annually or when significant changes occur?,"Disaster response plan, Plan exercises, Annual testing, Significant changes"
BCR-10.2,"Are local emergency authorities included, if possible, in the exercise?","Local emergency authorities, Exercise participation"
BCR-11.1,Is business-critical equipment supplemented with redundant equipment independently located at a reasonable minimum distance in accordance with applicable industry standards?,"Business-critical equipment, Redundant equipment, Independent location, Minimum distance, Industry standards"
CCC-01.1,"Are risk management policies and procedures associated with changing organizational assets including applications, systems, infrastructure, configuration, etc., established, documented, approved, communicated, applied, evaluated and maintained (regardless of whether asset management is internal or external)?","Risk management policies, Risk management procedures, Asset changes, Organizational assets, Applications, Systems, Infrastructure, Configuration, Documentation, Approval, Communication, Policy implementation, Policy evaluation, Policy maintenance, Internal asset management, External asset management"
CCC-01.2,Are the policies and procedures reviewed and updated at least annually?,"Policy review, Procedure review, Annual update"
CCC-02.1,"Is a defined quality change control, approval and testing process (with established baselines, testing, and release standards) followed?","change control, approval process, testing process, established baselines, release standards, quality control"
CCC-03.1,"Are risks associated with changing organizational assets (including applications, systems, infrastructure, configuration, etc.) managed, regardless of whether asset management occurs internally or externally (i.e., outsourced)?","Asset changes, Risk management, Organizational assets, Applications, Systems, Infrastructure, Configuration, Internal management, Outsourced management"
CCC-04.1,"Is the unauthorized addition, removal, update, and management of organization assets restricted?","Unauthorized addition, Unauthorized removal, Unauthorized update, Asset management, Asset restrictions, Organizational assets"
CCC-05.1,Are provisions to limit changes that directly impact CSC-owned environments and require tenants to authorize requests explicitly included within the service level agreements (SLAs) between CSPs and CSCs?,"change limitations, CSC-owned environments, tenant authorization, service level agreements, CSP-CSC agreements"
CCC-06.1,Are change management baselines established for all relevant authorized changes on organizational assets?,"Change management baselines, Authorized changes, Organizational assets"
CCC-07.1,Are detection measures implemented with proactive notification if changes deviate from established baselines?,"Detection measures, Proactive notification, Baseline deviation, Configuration changes, Established baselines"
CCC-08.1,"Is a procedure implemented to manage exceptions, including emergencies, in the change and configuration process?","exception management, emergency changes, change process, configuration process, procedure implementation"
CCC-08.2,Is the procedure aligned with the requirements of the GRC-04: Policy Exception Process?',"procedure alignment, policy exception process, GRC-04 requirements"
CCC-09.1,"Is a process to proactively roll back changes to a previously known ""good state"" defined and implemented in case of errors or security concerns?","Rollback process, Change rollback, Known good state, Error handling, Security concerns, Process definition, Process implementation"
CEK-01.1,"Are cryptography, encryption, and key management policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?","Cryptography policy, Encryption policy, Key management policy, Procedures documentation, Policy approval, Policy communication, Policy application, Policy evaluation, Policy maintenance"
CEK-01.2,"Are cryptography, encryption, and key management policies and procedures reviewed and updated at least annually?","Cryptography policies, Encryption policies, Key management policies, Procedures review, Annual update"
CEK-02.1,"Are cryptography, encryption, and key management roles and responsibilities defined and implemented?","Cryptography roles, Encryption roles, Key management roles, Roles responsibilities, Responsibility definition, Responsibility implementation"
CEK-03.1,Are data at-rest and in- transit cryptographically protected using cryptographic libraries certified to approved standards?,"Data at rest, Data in transit, Cryptographic protection, Cryptographic libraries, Certified standards, Approved standards"
CEK-04.1,"Are appropriate data protection encryption algorithms used that consider data classification, associated risks, and encryption technology usability?","Data protection, Encryption algorithms, Data classification, Risk assessment, Encryption usability"
CEK-05.1,"Are standard change management procedures established to review, approve, implement and communicate cryptography, encryption, and key management technology changes that accommodate internal and external sources?","Change management procedures, Change review, Change approval, Change implementation, Change communication, Cryptography changes, Encryption changes, Key management changes, Internal sources, External sources"
CEK-06.1,"Are changes to cryptography-, encryption- and key management- related systems, policies, and procedures, managed and adopted in a manner that fully accounts for downstream effects of proposed changes, including residual risk, cost, and benefits analysis?","Cryptography changes, Encryption changes, Key management changes, Change management, Policies and procedures, Downstream effects, Residual risk, Cost-benefit analysis"
CEK-07.1,"Is a cryptography, encryption, and key management risk program established and maintained that includes risk assessment, risk treatment, risk context, monitoring, and feedback provisions?","Cryptography program, Encryption program, Key management, Risk program, Risk assessment, Risk treatment, Risk context, Risk monitoring, Feedback provisions"
CEK-08.1,Are CSPs providing CSCs with the capacity to manage their own data encryption keys?,"Cloud service providers, Cloud service customers, Encryption key management, Customer-managed keys, Data encryption keys"
CEK-09.1,"Are encryption and key management systems, policies, and processes audited with a frequency proportional to the system's risk exposure, and after any security event?","Encryption systems, Key management, Audit frequency, Risk exposure, Security events, Policies, Processes"
CEK-09.2,"Are encryption and key management systems, policies, and processes audited (preferably continuously but at least annually)?","Encryption auditing, Key management auditing, Audit frequency, Continuous auditing, Annual audits, Security policies, Security processes"
CEK-10.1,Are cryptographic keys generated using industry- accepted and approved cryptographic libraries that specify algorithm strength and random number generator specifications?,"Cryptographic keys, Key generation, Cryptographic libraries, Algorithm strength, Random number generator, Industry accepted"
CEK-11.1,"Are private keys provisioned for a unique purpose managed, and is cryptography secret?","Private keys, Key provisioning, Unique purpose, Key management, Cryptography secrets"
CEK-12.1,Are cryptographic keys rotated based on a cryptoperiod calculated while considering information disclosure risks and legal and regulatory requirements?,"cryptographic keys, key rotation, cryptoperiod, information disclosure risk, legal requirements, regulatory requirements"
CEK-13.1,"Are cryptographic keys revoked and removed before the end of the established cryptoperiod (when a key is compromised, or an entity is no longer part of the organization) per defined, implemented, and evaluated processes, procedures, and technical measures to include legal and regulatory requirement provisions?","Cryptographic keys, Key revocation, Key removal, Cryptoperiod, Key compromise, Organization departure, Defined processes, Implemented procedures, Technical measures, Evaluated processes, Legal requirements, Regulatory provisions"
CEK-14.1,"Are processes, procedures and technical measures to destroy unneeded keys defined, implemented and evaluated to address key destruction outside secure environments, revocation of keys stored in hardware security modules (HSMs), and include applicable legal and regulatory requirement provisions?","Key destruction, Key revocation, HSM keys, Secure environment, Processes and procedures, Technical measures, Legal requirements, Regulatory requirements, Control evaluation"
CEK-15.1,"Are processes, procedures, and technical measures to create keys in a pre-activated state (i.e., when they have been generated but not authorized for use) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?","Key creation, Pre-activated keys, Processes and procedures, Technical measures, Control definition, Control implementation, Control evaluation, Legal requirements, Regulatory provisions"
CEK-16.1,"Are processes, procedures, and technical measures to monitor, review and approve key transitions (e.g., from any state to/from suspension) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?","Key transitions, Suspension state, Monitoring measures, Review processes, Approval procedures, Technical measures, Process definition, Implementation evaluation, Legal requirements, Regulatory requirements"
CEK-17.1,"Are processes, procedures, and technical measures to deactivate keys (at the time of their expiration date) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?","Key deactivation, Key expiration, Processes and procedures, Technical measures, Implementation evaluation, Legal requirements, Regulatory requirements"
CEK-18.1,"Are processes, procedures, and technical measures to manage archived keys in a secure repository (requiring least privilege access) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?","Key archiving, Key management processes, Key management procedures, Technical measures, Secure repository, Least privilege access, Process implementation, Process evaluation, Legal requirements, Regulatory requirements"
CEK-19.1,"Are processes, procedures, and technical measures to use compromised keys to encrypt information in specific scenarios (e.g., only in controlled circumstances and thereafter only for data decryption and never for encryption) defined, implemented, and evaluated to include legal and regulatory requirement provisions?","Compromised keys, Encryption scenarios, Data decryption, Encryption prohibition, Processes and procedures, Technical measures, Controlled circumstances, Defined implementation, Process evaluation, Legal requirements, Regulatory requirements"
CEK-20.1,"Are processes, procedures, and technical measures to assess operational continuity risks (versus the risk of losing control of keying material and exposing protected data) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?","processes, procedures, technical measures, operational continuity risks, keying material, protected data exposure, risk assessment, implementation, evaluation, legal requirements, regulatory requirements"
CEK-21.1,"Are key management system processes, procedures, and technical measures being defined, implemented, and evaluated to track and report all cryptographic materials and status changes that include legal and regulatory requirements provisions?","Key management system, Process definition, Procedure implementation, Technical measures, Process evaluation, Cryptographic materials tracking, Status change reporting, Legal requirements, Regulatory requirements"
DCS-01.1,"Are policies and procedures for the secure disposal of equipment used outside the organization's premises established, documented, approved, communicated, enforced, and maintained?","Secure disposal, Equipment disposal, Offsite equipment, Policies and procedures, Documentation, Policy approval, Policy communication, Policy enforcement, Policy maintenance"
DCS-01.2,Is a data destruction procedure applied that renders information recovery information impossible if equipment is not physically destroyed?,"Data destruction procedure, Information recovery prevention, Equipment not destroyed, Secure data deletion"
DCS-01.3,Are policies and procedures for the secure disposal of equipment used outside the organization's premises reviewed and updated at least annually?,"annual review, equipment disposal, off-premises equipment, policies and procedures, secure disposal, policy updates"
DCS-02.1,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location established, documented, approved, communicated, implemented, enforced, maintained?","Policy documentation, Procedure documentation, Offsite relocation, Alternate location, Hardware transfer, Software transfer, Data transfer, Policy approval, Policy communication, Policy implementation, Policy enforcement, Policy maintenance"
DCS-02.2,Does a relocation or transfer request require written or cryptographically verifiable authorization?,"Relocation request, Transfer request, Written authorization, Cryptographic authorization, Verifiable authorization"
DCS-02.3,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location reviewed and updated at least annually?","Policy review, Procedure review, Annual update, Relocation procedures, Transfer procedures, Hardware transfer, Software transfer, Data transfer, Offsite location, Alternate location"
DCS-03.1,"Are policies and procedures for maintaining a safe and secure working environment (in offices, rooms, and facilities) established, documented, approved, communicated, enforced, and maintained?","Security policies, Security procedures, Safe working environment, Physical security, Offices, Rooms, Facilities, Policy documentation, Policy approval, Policy communication, Policy enforcement, Policy maintenance"
DCS-03.2,"Are policies and procedures for maintaining safe, secure working environments (e.g., offices, rooms) reviewed and updated at least annually?","Policy review, Procedure review, Annual update, Secure work environment, Office security, Physical spaces"
DCS-04.1,"Are policies and procedures for the secure transportation of physical media established, documented, approved, communicated, enforced, evaluated, and maintained?","Secure transportation, Physical media, Policies and procedures, Documentation, Approval, Communication, Enforcement, Evaluation, Maintenance"
DCS-04.2,Are policies and procedures for the secure transportation of physical media reviewed and updated at least annually?,"Physical media transport, Secure transportation, Policies and procedures, Annual review, Policy updates"
DCS-05.1,Is the classification and documentation of physical and logical assets based on the organizational business risk?,"asset classification, asset documentation, physical assets, logical assets, business risk, risk-based approach"
DCS-06.1,Are all relevant physical and logical assets at all CSP sites cataloged and tracked within a secured system?,"Asset inventory, Physical assets, Logical assets, CSP sites, Asset tracking, Secured system"
DCS-07.1,"Are physical security perimeters implemented to safeguard personnel, data, and information systems?","Physical security perimeters, Personnel safety, Data protection, Information systems"
DCS-07.2,"Are physical security perimeters established between administrative and business areas, data storage, and processing facilities?","Physical security perimeters, Administrative areas, Business areas, Data storage, Processing facilities"
DCS-08.1,Is equipment identification used as a method for connection authentication?,"Equipment identification, Connection authentication, Authentication method"
DCS-09.1,"Are solely authorized personnel able to access secure areas, with all ingress and egress areas restricted, documented, and monitored by physical access control mechanisms?","authorized personnel, secure areas, ingress restriction, egress restriction, access documentation, access monitoring, physical access control"
DCS-09.2,"Are access control records retained periodically, as deemed appropriate by the organization?","access control records, record retention, periodic retention, organizational requirements"
DCS-10.1,"Are external perimeter datacenter surveillance systems and surveillance systems at all ingress and egress points implemented, maintained, and operated?","Datacenter surveillance, External perimeter, Ingress points, Egress points, System implementation, System maintenance, System operation"
DCS-11.1,Are datacenter personnel trained to respond to unauthorized access or egress attempts?,"Datacenter personnel, Security training, Unauthorized access, Egress attempts, Incident response"
DCS-12.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure risk- based protection of power and telecommunication cables from interception, interference, or damage threats at all facilities, offices, and rooms?","Process definition, Procedure implementation, Technical measures, Risk-based protection, Power cables, Telecommunication cables, Interception threats, Interference threats, Damage threats, Physical security, Facilities coverage, Offices coverage, Rooms coverage, Control evaluation"
DCS-13.1,"Are data center environmental control systems designed to monitor, maintain, and test that on-site temperature and humidity conditions fall within accepted industry standards effectively implemented and maintained?","Data center, Environmental control systems, Temperature monitoring, Humidity monitoring, Industry standards, System testing, Implementation maintenance, On-site conditions"
DCS-14.1,"Are utility services secured, monitored, maintained, and tested at planned intervals for continual effectiveness?","Utility services security, Utility services monitoring, Utility services maintenance, Planned testing intervals, Continual effectiveness"
DCS-15.1,Is business-critical equipment segregated from locations subject to a high probability of environmental risk events?,"Business-critical equipment, Equipment segregation, Environmental risk, High-risk locations"
DSP-01.1,"Are policies and procedures established, documented, approved, communicated, enforced, evaluated, and maintained for the classification, protection, and handling of data throughout its lifecycle according to all applicable laws and regulations, standards, and risk level?","Policies and procedures, Documentation, Approval, Communication, Enforcement, Evaluation, Maintenance, Data classification, Data protection, Data handling, Data lifecycle, Laws and regulations, Standards, Risk level"
DSP-01.2,Are data security and privacy policies and procedures reviewed and updated at least annually?,"Data security policies, Privacy policies, Procedures review, Annual review, Policy updates"
DSP-02.1,Are industry-accepted methods applied for secure data disposal from storage media so information is not recoverable by any forensic means?,"secure data disposal, storage media, industry-accepted methods, data irrecoverability, forensic recovery"
DSP-03.1,Is a data inventory created and maintained for sensitive and personal information (at a minimum)?,"Data inventory, Sensitive information, Personal information, Inventory maintenance"
DSP-04.1,Is data classified according to type and sensitivity levels?,"Data classification, Data type, Sensitivity levels"
DSP-05.1,Is data flow documentation created to identify what data is processed and where it is stored and transmitted?,"Data flow documentation, Data processing, Data storage, Data transmission"
DSP-05.2,"Is data flow documentation reviewed at defined intervals, at least annually, and after any change?","Data flow documentation, Documentation review, Defined intervals, Annual review, Post-change review"
DSP-06.1,Is the ownership and stewardship of all relevant personal and sensitive data documented?,"Data ownership, Data stewardship, Documentation, Personal data, Sensitive data"
DSP-06.2,Is data ownership and stewardship documentation reviewed at least annually?,"Data ownership, Data stewardship, Documentation review, Annual review"
DSP-07.1,"Are systems, products, and business practices based on security principles by design and per industry best practices?","Security by design, Industry best practices, Business practices, Systems, Products, Security principles"
DSP-08.1,"Are systems, products, and business practices based on privacy principles by design and according to industry best practices?","Privacy by design, Privacy principles, Industry best practices, Business practices, Systems and products"
DSP-08.2,Are systems' privacy settings configured by default and according to all applicable laws and regulations?,"privacy settings, default configuration, laws and regulations"
DSP-09.1,"Is a data protection impact assessment (DPIA) conducted when processing personal data and evaluating the origin, nature, particularity, and severity of risks according to any applicable laws, regulations and industry best practices?","Data protection impact assessment, Personal data processing, Risk evaluation, Applicable laws, Regulatory compliance, Industry best practices, Risk origin, Risk nature, Risk severity, Risk particularity"
DSP-10.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure any transfer of personal or sensitive data is protected from unauthorized access and only processed within scope (as permitted by respective laws and regulations)?","Process definition, Procedure implementation, Technical measures, Transfer protection, Personal data transfer, Sensitive data transfer, Unauthorized access, Scope limitation, Legal compliance, Regulatory compliance, Control evaluation"
DSP-11.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to enable data subjects to request access to, modify, or delete personal data (per applicable laws and regulations)?","Access request, Data modification, Data deletion, Personal data, Data subjects, Applicable laws, Regulatory compliance, Processes, Procedures, Technical measures, Implementation, Evaluation"
DSP-12.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure personal data is processed (per applicable laws and regulations and for the purposes declared to the data subject)?","Process definitions, Procedural controls, Technical measures, Control implementation, Control evaluation, Personal data processing, Legal compliance, Regulatory compliance, Declared purposes, Data subject"
DSP-13.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated for the transfer and sub-processing of personal data within the service supply chain (according to any applicable laws and regulations)?","Processes, Procedures, Technical measures, Transfer of personal data, Sub-processing, Service supply chain, Applicable laws, Regulatory compliance, Implementation, Evaluation"
DSP-14.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to disclose details to the data owner of any personal or sensitive data access by sub-processors before processing initiation?","Access disclosure, Data owner notification, Personal data access, Sensitive data access, Sub-processor access, Pre-processing disclosure, Processes and procedures, Technical measures, Control evaluation"
DSP-15.1,"Is authorization from data owners obtained, and the associated risk managed, before replicating or using production data in non- production environments?","Data owner authorization, Risk management, Production data, Non-production environments, Data replication, Data usage approval"
DSP-16.1,"Do data retention, archiving, and deletion practices follow business requirements, applicable laws, and regulations?","Data retention, Data archiving, Data deletion, Business requirements, Applicable laws, Regulatory compliance"
DSP-17.1,"Are processes, procedures, and technical measures defined and implemented to protect sensitive data throughout its lifecycle?","Process definition, Procedure implementation, Technical measures, Sensitive data, Data lifecycle protection"
DSP-18.1,"Does the CSP have in place, and describe to CSCs, the procedure to manage and respond to requests for disclosure of Personal Data by Law Enforcement Authorities according to applicable laws and regulations?","CSP procedure, Disclosure requests, Personal Data, Law Enforcement Authorities, Applicable laws, Regulatory compliance, CSCs communication, Response management"
DSP-18.2,"Does the CSP give special attention to the notification procedure to interested CSCs, unless otherwise prohibited, such as a prohibition under criminal law to preserve confidentiality of a law enforcement investigation?","Notification procedure, Interested CSCs, Criminal law prohibition, Confidentiality preservation, Law enforcement investigation"
DSP-19.1,"Are processes, procedures, and technical measures defined and implemented to specify and document physical data locations, including locales where data is processed or backed up?","Processes, Procedures, Technical measures, Physical data locations, Data processing locations, Backup locations, Documentation"
GRC-01.1,"Are information governance program policies and procedures sponsored by organizational leadership established, documented, approved, communicated, applied, evaluated, and maintained?","information governance program, policies and procedures, organizational leadership, leadership sponsorship, policy documentation, policy approval, policy communication, policy implementation, policy evaluation, policy maintenance"
GRC-01.2,Are the policies and procedures reviewed and updated at least annually?,"Policy review, Procedure review, Annual update, Policy update, Procedure update"
GRC-02.1,"Is there an established formal, documented, and leadership-sponsored enterprise risk management (ERM) program that includes policies and procedures for identification, evaluation, ownership, treatment, and acceptance of cloud security and privacy risks?","Enterprise risk management, Documented program, Leadership sponsorship, Policies and procedures, Risk identification, Risk evaluation, Risk ownership, Risk treatment, Risk acceptance, Cloud security risk, Privacy risk"
GRC-03.1,"Are all relevant organizational policies and associated procedures reviewed at least annually, or when a substantial organizational change occurs?","Policy review, Procedure review, Annual review, Organizational change"
GRC-04.1,Is an approved exception process mandated by the governance program established and followed whenever a deviation from an established policy occurs?,"approved exception process, governance program, policy deviation, policy compliance"
GRC-05.1,Has an information security program (including programs of all relevant CCM domains) been developed and implemented?,"Information security program, Program development, Program implementation, CCM domains"
GRC-07.1,"Are all relevant standards, regulations, legal/contractual, and statutory requirements applicable to your organization identified and documented?","Applicable standards, Regulatory requirements, Legal requirements, Contractual requirements, Statutory requirements, Requirements identification, Requirements documentation"
GRC-08.1,Is contact established and maintained with cloud- related special interest groups and other relevant entities?,"Contact maintenance, Cloud special interest groups, Relevant entities"
HRS-01.1,"Are background verification policies and procedures of all new employees (including but not limited to remote employees, contractors, and third parties) established, documented, approved, communicated, applied, evaluated, and maintained?","Background verification, Employee onboarding, Remote employees, Contractors, Third parties, Policies and procedures, Documentation, Approval, Communication, Policy implementation, Policy evaluation, Policy maintenance"
HRS-01.2,"Are background verification policies and procedures designed according to local laws, regulations, ethics, and contractual constraints and proportional to the data classification to be accessed, business requirements, and acceptable risk?","Background verification, Policies and procedures, Local laws, Regulatory compliance, Ethical constraints, Contractual constraints, Data classification, Business requirements, Acceptable risk"
HRS-01.3,Are background verification policies and procedures reviewed and updated at least annually?,"background verification, policies and procedures, annual review, policy updates"
HRS-02.1,"Are policies and procedures for defining allowances and conditions for the acceptable use of organizationally-owned or managed assets established, documented, approved, communicated, applied, evaluated, and maintained?","Acceptable use, Allowances and conditions, Asset use policy, Organizational assets, Managed assets, Policies and procedures, Policy documentation, Policy approval, Policy communication, Policy implementation, Policy evaluation, Policy maintenance"
HRS-02.2,Are the policies and procedures for defining allowances and conditions for the acceptable use of organizationally-owned or managed assets reviewed and updated at least annually?,"acceptable use, organizational assets, policies and procedures, allowances and conditions, annual review, policy updates"
HRS-03.1,"Are policies and procedures requiring unattended workspaces to conceal confidential data established, documented, approved, communicated, applied, evaluated, and maintained?","Unattended workspaces, Confidential data concealment, Policies and procedures, Policy documentation, Policy approval, Policy communication, Policy implementation, Policy evaluation, Policy maintenance"
HRS-03.2,Are policies and procedures requiring unattended workspaces to conceal confidential data reviewed and updated at least annually?,"Policies and procedures, Unattended workspaces, Confidential data, Policy review, Annual updates"
HRS-04.1,"Are policies and procedures to protect information accessed, processed, or stored at remote sites and locations established, documented, approved, communicated, applied, evaluated, and maintained?","Remote sites, Information protection, Policies and procedures, Documented policies, Policy approval, Policy communication, Policy implementation, Policy evaluation, Policy maintenance"
HRS-04.2,"Are policies and procedures to protect information accessed, processed, or stored at remote sites and locations reviewed and updated at least annually?","Information protection, Remote sites, Policies and procedures, Annual review, Policy updates"
HRS-05.1,Are return procedures of organizationally-owned assets by terminated employees established and documented?,"Return procedures, Organizational assets, Asset return, Terminated employees, Documentation"
HRS-06.1,"Are procedures outlining the roles and responsibilities concerning changes in employment established, documented, and communicated to all personnel?","Employment changes, Roles and responsibilities, Documented procedures, Procedure communication, Personnel communication"
HRS-07.1,"Are employees required to sign an employment agreement before gaining access to organizational information systems, resources, and assets?","Employee agreements, Access authorization, Pre-employment requirement, Information systems access, Organizational assets, Resource access"
HRS-08.1,Are provisions and/or terms for adherence to established information governance and security policies included within employment agreements?,"employment agreements, information governance, security policies, policy adherence terms"
HRS-09.1,Are employee roles and responsibilities relating to information assets and security documented and communicated?,"Employee roles, Roles and responsibilities, Information assets, Security responsibilities, Documentation, Communication"
HRS-10.1,"Are requirements for non- disclosure/confidentiality agreements reflecting organizational data protection needs and operational details identified, documented, and reviewed at planned intervals?","Non-disclosure agreements, Confidentiality agreements, Data protection needs, Operational details, Requirements documentation, Requirements identification, Periodic review, Planned intervals"
HRS-11.1,"Is a security awareness training program for all employees of the organization established, documented, approved, communicated, applied, evaluated and maintained?","Security awareness training, Employee training program, Program documentation, Program approval, Program communication, Program implementation, Program evaluation, Program maintenance"
HRS-11.2,Are regular security awareness training updates provided?,"Security awareness training, Training updates, Regular training"
HRS-12.1,Are all employees granted access to sensitive organizational and personal data provided with appropriate security awareness training?,"Employee access, Sensitive data, Personal data, Security awareness training"
HRS-12.2,"Are all employees granted access to sensitive organizational and personal data provided with regular updates in procedures, processes, and policies relating to their professional function?","Employee access, Sensitive data, Personal data, Regular updates, Procedures, Processes, Policies, Professional function"
HRS-13.1,"Are employees notified of their roles and responsibilities to maintain awareness and compliance with established policies, procedures, and applicable legal, statutory, or regulatory compliance obligations?","Employee notification, Roles and responsibilities, Policy awareness, Procedure compliance, Legal obligations, Statutory compliance, Regulatory compliance"
