id,text,labels
BCR-05.2,Is business continuity and operational resilience documentation available to authorized stakeholders?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
BCR-05.3,Is business continuity and operational resilience documentation reviewed periodically?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
BCR-06.1,Are the business continuity and operational resilience plans exercised and tested at least annually and when significant changes occur?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
BCR-07.1,Do business continuity and resilience procedures establish communication with stakeholders and participants?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
BCR-08.1,Is cloud data periodically backed up?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
BCR-08.2,"Is the confidentiality, integrity, and availability of backup data ensured?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
BCR-08.3,Can backups be restored appropriately for resiliency?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
BCR-09.1,"Is a disaster response plan established, documented, approved, applied, evaluated, and maintained to ensure recovery from natural and man-made disasters?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
BCR-09.2,"Is the disaster response plan updated at least annually, and when significant changes occur?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, disaster response, plan maintenance, annual review, exercise testing"
BCR-10.1,Is the disaster response plan exercised annually or when significant changes occur?,"disaster response, plan maintenance, annual review, exercise testing"
BCR-10.2,"Are local emergency authorities included, if possible, in the exercise?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
BCR-11.1,Is business-critical equipment supplemented with redundant equipment independently located at a reasonable minimum distance in accordance with applicable industry standards?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CCC-01.1,"Are risk management policies and procedures associated with changing organizational assets including applications, systems, infrastructure, configuration, etc., established, documented, approved, communicated, applied, evaluated and maintained (regardless of whether asset management is internal or external)?","risk management, asset change, policies and procedures, periodic review, compliance requirements, documentation, monitoring and reporting"
CCC-01.2,Are the policies and procedures reviewed and updated at least annually?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CCC-02.1,"Is a defined quality change control, approval and testing process (with established baselines, testing, and release standards) followed?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CCC-03.1,"Are risks associated with changing organizational assets (including applications, systems, infrastructure, configuration, etc.) managed, regardless of whether asset management occurs internally or externally (i.e., outsourced)?","risk management, asset change, policies and procedures"
CCC-04.1,"Is the unauthorized addition, removal, update, and management of organization assets restricted?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CCC-05.1,Are provisions to limit changes that directly impact CSC-owned environments and require tenants to authorize requests explicitly included within the service level agreements (SLAs) between CSPs and CSCs?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CCC-06.1,Are change management baselines established for all relevant authorized changes on organizational assets?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CCC-07.1,Are detection measures implemented with proactive notification if changes deviate from established baselines?,"managed endpoints, security controls, configuration management"
CCC-08.1,"Is a procedure implemented to manage exceptions, including emergencies, in the change and configuration process?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CCC-08.2,Is the procedure aligned with the requirements of the GRC-04: Policy Exception Process?',"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CCC-09.1,"Is a process to proactively roll back changes to a previously known ""good state"" defined and implemented in case of errors or security concerns?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CEK-01.1,"Are cryptography, encryption, and key management policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?","cryptography, key management, policies and procedures, roles and responsibilities"
CEK-01.2,"Are cryptography, encryption, and key management policies and procedures reviewed and updated at least annually?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CEK-02.1,"Are cryptography, encryption, and key management roles and responsibilities defined and implemented?","cryptography, key management, policies and procedures, roles and responsibilities"
CEK-03.1,Are data at-rest and in- transit cryptographically protected using cryptographic libraries certified to approved standards?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CEK-04.1,"Are appropriate data protection encryption algorithms used that consider data classification, associated risks, and encryption technology usability?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CEK-05.1,"Are standard change management procedures established to review, approve, implement and communicate cryptography, encryption, and key management technology changes that accommodate internal and external sources?","change management, cryptography, key management, policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CEK-06.1,"Are changes to cryptography-, encryption- and key management- related systems, policies, and procedures, managed and adopted in a manner that fully accounts for downstream effects of proposed changes, including residual risk, cost, and benefits analysis?","change management, cryptography, key management"
CEK-07.1,"Is a cryptography, encryption, and key management risk program established and maintained that includes risk assessment, risk treatment, risk context, monitoring, and feedback provisions?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CEK-08.1,Are CSPs providing CSCs with the capacity to manage their own data encryption keys?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CEK-09.1,"Are encryption and key management systems, policies, and processes audited with a frequency proportional to the system's risk exposure, and after any security event?","encryption, key management, audit frequency, risk-based auditing"
CEK-09.2,"Are encryption and key management systems, policies, and processes audited (preferably continuously but at least annually)?","encryption, key management, audit frequency, risk-based auditing"
CEK-10.1,Are cryptographic keys generated using industry- accepted and approved cryptographic libraries that specify algorithm strength and random number generator specifications?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CEK-11.1,"Are private keys provisioned for a unique purpose managed, and is cryptography secret?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CEK-12.1,Are cryptographic keys rotated based on a cryptoperiod calculated while considering information disclosure risks and legal and regulatory requirements?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CEK-13.1,"Are cryptographic keys revoked and removed before the end of the established cryptoperiod (when a key is compromised, or an entity is no longer part of the organization) per defined, implemented, and evaluated processes, procedures, and technical measures to include legal and regulatory requirement provisions?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CEK-14.1,"Are processes, procedures and technical measures to destroy unneeded keys defined, implemented and evaluated to address key destruction outside secure environments, revocation of keys stored in hardware security modules (HSMs), and include applicable legal and regulatory requirement provisions?","cryptographic keys, key lifecycle management, security controls, policies and procedures, regulatory compliance"
CEK-15.1,"Are processes, procedures, and technical measures to create keys in a pre-activated state (i.e., when they have been generated but not authorized for use) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?","cryptographic keys, key lifecycle management, security controls, policies and procedures, regulatory compliance"
CEK-16.1,"Are processes, procedures, and technical measures to monitor, review and approve key transitions (e.g., from any state to/from suspension) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CEK-17.1,"Are processes, procedures, and technical measures to deactivate keys (at the time of their expiration date) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, cryptographic keys, key lifecycle management, security controls, regulatory compliance"
CEK-18.1,"Are processes, procedures, and technical measures to manage archived keys in a secure repository (requiring least privilege access) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?","cryptographic keys, key lifecycle management, security controls, policies and procedures, regulatory compliance"
CEK-19.1,"Are processes, procedures, and technical measures to use compromised keys to encrypt information in specific scenarios (e.g., only in controlled circumstances and thereafter only for data decryption and never for encryption) defined, implemented, and evaluated to include legal and regulatory requirement provisions?","cryptographic keys, key lifecycle management, security controls, policies and procedures, regulatory compliance"
CEK-20.1,"Are processes, procedures, and technical measures to assess operational continuity risks (versus the risk of losing control of keying material and exposing protected data) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
CEK-21.1,"Are key management system processes, procedures, and technical measures being defined, implemented, and evaluated to track and report all cryptographic materials and status changes that include legal and regulatory requirements provisions?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-01.1,"Are policies and procedures for the secure disposal of equipment used outside the organization's premises established, documented, approved, communicated, enforced, and maintained?","policies and procedures, secure disposal, equipment lifecycle, offsite assets, policy review"
DCS-01.2,Is a data destruction procedure applied that renders information recovery information impossible if equipment is not physically destroyed?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-01.3,Are policies and procedures for the secure disposal of equipment used outside the organization's premises reviewed and updated at least annually?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, secure disposal, equipment lifecycle, offsite assets, policy review"
DCS-02.1,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location established, documented, approved, communicated, implemented, enforced, maintained?","policies and procedures, asset relocation, offsite transfer, policy review"
DCS-02.2,Does a relocation or transfer request require written or cryptographically verifiable authorization?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-02.3,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location reviewed and updated at least annually?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, asset relocation, offsite transfer, policy review"
DCS-03.1,"Are policies and procedures for maintaining a safe and secure working environment (in offices, rooms, and facilities) established, documented, approved, communicated, enforced, and maintained?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-03.2,"Are policies and procedures for maintaining safe, secure working environments (e.g., offices, rooms) reviewed and updated at least annually?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-04.1,"Are policies and procedures for the secure transportation of physical media established, documented, approved, communicated, enforced, evaluated, and maintained?","security policies, procedures, physical media, secure transport, policy review"
DCS-04.2,Are policies and procedures for the secure transportation of physical media reviewed and updated at least annually?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, security policies, procedures, physical media, secure transport, policy review"
DCS-05.1,Is the classification and documentation of physical and logical assets based on the organizational business risk?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-06.1,Are all relevant physical and logical assets at all CSP sites cataloged and tracked within a secured system?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-07.1,"Are physical security perimeters implemented to safeguard personnel, data, and information systems?","physical security, security perimeters"
DCS-07.2,"Are physical security perimeters established between administrative and business areas, data storage, and processing facilities?","physical security, security perimeters"
DCS-08.1,Is equipment identification used as a method for connection authentication?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-09.1,"Are solely authorized personnel able to access secure areas, with all ingress and egress areas restricted, documented, and monitored by physical access control mechanisms?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-09.2,"Are access control records retained periodically, as deemed appropriate by the organization?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-10.1,"Are external perimeter datacenter surveillance systems and surveillance systems at all ingress and egress points implemented, maintained, and operated?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-11.1,Are datacenter personnel trained to respond to unauthorized access or egress attempts?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-12.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure risk- based protection of power and telecommunication cables from interception, interference, or damage threats at all facilities, offices, and rooms?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-13.1,"Are data center environmental control systems designed to monitor, maintain, and test that on-site temperature and humidity conditions fall within accepted industry standards effectively implemented and maintained?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-14.1,"Are utility services secured, monitored, maintained, and tested at planned intervals for continual effectiveness?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DCS-15.1,Is business-critical equipment segregated from locations subject to a high probability of environmental risk events?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-01.1,"Are policies and procedures established, documented, approved, communicated, enforced, evaluated, and maintained for the classification, protection, and handling of data throughout its lifecycle according to all applicable laws and regulations, standards, and risk level?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-01.2,Are data security and privacy policies and procedures reviewed and updated at least annually?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-02.1,Are industry-accepted methods applied for secure data disposal from storage media so information is not recoverable by any forensic means?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-03.1,Is a data inventory created and maintained for sensitive and personal information (at a minimum)?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-04.1,Is data classified according to type and sensitivity levels?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-05.1,Is data flow documentation created to identify what data is processed and where it is stored and transmitted?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-05.2,"Is data flow documentation reviewed at defined intervals, at least annually, and after any change?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-06.1,Is the ownership and stewardship of all relevant personal and sensitive data documented?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-06.2,Is data ownership and stewardship documentation reviewed at least annually?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-07.1,"Are systems, products, and business practices based on security principles by design and per industry best practices?","security by design, privacy by design, industry best practices"
DSP-08.1,"Are systems, products, and business practices based on privacy principles by design and according to industry best practices?","security by design, privacy by design, industry best practices"
DSP-08.2,Are systems' privacy settings configured by default and according to all applicable laws and regulations?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-09.1,"Is a data protection impact assessment (DPIA) conducted when processing personal data and evaluating the origin, nature, particularity, and severity of risks according to any applicable laws, regulations and industry best practices?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-10.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure any transfer of personal or sensitive data is protected from unauthorized access and only processed within scope (as permitted by respective laws and regulations)?","processes and procedures, technical controls, personal data protection, regulatory compliance, personal data, data processing, data transfer, security controls"
DSP-11.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to enable data subjects to request access to, modify, or delete personal data (per applicable laws and regulations)?","processes and procedures, technical controls, personal data protection, regulatory compliance"
DSP-12.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure personal data is processed (per applicable laws and regulations and for the purposes declared to the data subject)?","processes and procedures, technical controls, personal data protection, regulatory compliance, personal data, data processing, data transfer, security controls"
DSP-13.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated for the transfer and sub-processing of personal data within the service supply chain (according to any applicable laws and regulations)?","personal data, data processing, data transfer, regulatory compliance, security controls, processes and procedures"
DSP-14.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to disclose details to the data owner of any personal or sensitive data access by sub-processors before processing initiation?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-15.1,"Is authorization from data owners obtained, and the associated risk managed, before replicating or using production data in non- production environments?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-16.1,"Do data retention, archiving, and deletion practices follow business requirements, applicable laws, and regulations?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-17.1,"Are processes, procedures, and technical measures defined and implemented to protect sensitive data throughout its lifecycle?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-18.1,"Does the CSP have in place, and describe to CSCs, the procedure to manage and respond to requests for disclosure of Personal Data by Law Enforcement Authorities according to applicable laws and regulations?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-18.2,"Does the CSP give special attention to the notification procedure to interested CSCs, unless otherwise prohibited, such as a prohibition under criminal law to preserve confidentiality of a law enforcement investigation?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
DSP-19.1,"Are processes, procedures, and technical measures defined and implemented to specify and document physical data locations, including locales where data is processed or backed up?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
GRC-01.1,"Are information governance program policies and procedures sponsored by organizational leadership established, documented, approved, communicated, applied, evaluated, and maintained?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
GRC-01.2,Are the policies and procedures reviewed and updated at least annually?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
GRC-02.1,"Is there an established formal, documented, and leadership-sponsored enterprise risk management (ERM) program that includes policies and procedures for identification, evaluation, ownership, treatment, and acceptance of cloud security and privacy risks?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
GRC-03.1,"Are all relevant organizational policies and associated procedures reviewed at least annually, or when a substantial organizational change occurs?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
GRC-04.1,Is an approved exception process mandated by the governance program established and followed whenever a deviation from an established policy occurs?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
GRC-05.1,Has an information security program (including programs of all relevant CCM domains) been developed and implemented?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
GRC-07.1,"Are all relevant standards, regulations, legal/contractual, and statutory requirements applicable to your organization identified and documented?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
GRC-08.1,Is contact established and maintained with cloud- related special interest groups and other relevant entities?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
HRS-01.1,"Are background verification policies and procedures of all new employees (including but not limited to remote employees, contractors, and third parties) established, documented, approved, communicated, applied, evaluated, and maintained?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
HRS-01.2,"Are background verification policies and procedures designed according to local laws, regulations, ethics, and contractual constraints and proportional to the data classification to be accessed, business requirements, and acceptable risk?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
HRS-01.3,Are background verification policies and procedures reviewed and updated at least annually?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
HRS-02.1,"Are policies and procedures for defining allowances and conditions for the acceptable use of organizationally-owned or managed assets established, documented, approved, communicated, applied, evaluated, and maintained?","acceptable use, policies and procedures, asset management, policy review"
HRS-02.2,Are the policies and procedures for defining allowances and conditions for the acceptable use of organizationally-owned or managed assets reviewed and updated at least annually?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, acceptable use, asset management, policy review"
HRS-03.1,"Are policies and procedures requiring unattended workspaces to conceal confidential data established, documented, approved, communicated, applied, evaluated, and maintained?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
HRS-03.2,Are policies and procedures requiring unattended workspaces to conceal confidential data reviewed and updated at least annually?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
HRS-04.1,"Are policies and procedures to protect information accessed, processed, or stored at remote sites and locations established, documented, approved, communicated, applied, evaluated, and maintained?","information protection policies, remote site security, policy lifecycle management"
HRS-04.2,"Are policies and procedures to protect information accessed, processed, or stored at remote sites and locations reviewed and updated at least annually?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, information protection policies, remote site security, policy lifecycle management"
HRS-05.1,Are return procedures of organizationally-owned assets by terminated employees established and documented?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
HRS-06.1,"Are procedures outlining the roles and responsibilities concerning changes in employment established, documented, and communicated to all personnel?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
HRS-07.1,"Are employees required to sign an employment agreement before gaining access to organizational information systems, resources, and assets?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
HRS-08.1,Are provisions and/or terms for adherence to established information governance and security policies included within employment agreements?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
HRS-09.1,Are employee roles and responsibilities relating to information assets and security documented and communicated?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
HRS-10.1,"Are requirements for non- disclosure/confidentiality agreements reflecting organizational data protection needs and operational details identified, documented, and reviewed at planned intervals?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
HRS-11.1,"Is a security awareness training program for all employees of the organization established, documented, approved, communicated, applied, evaluated and maintained?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
HRS-11.2,Are regular security awareness training updates provided?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
HRS-12.1,Are all employees granted access to sensitive organizational and personal data provided with appropriate security awareness training?,"employee training, sensitive data access"
HRS-12.2,"Are all employees granted access to sensitive organizational and personal data provided with regular updates in procedures, processes, and policies relating to their professional function?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, employee training, sensitive data access"
HRS-13.1,"Are employees notified of their roles and responsibilities to maintain awareness and compliance with established policies, procedures, and applicable legal, statutory, or regulatory compliance obligations?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
IAM-01.1,"Are identity and access management policies and procedures established, documented, approved, communicated, implemented, applied, evaluated, and maintained?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
IAM-01.2,Are identity and access management policies and procedures reviewed and updated at least annually?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
IAM-02.1,"Are strong password policies and procedures established, documented, approved, communicated, implemented, applied, evaluated, and maintained?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
IAM-02.2,Are strong password policies and procedures reviewed and updated at least annually?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
IAM-03.1,"Is system identity information and levels of access managed, stored, and reviewed?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
IAM-04.1,Is the separation of duties principle employed when implementing information system access?,"access control, security principles"
IAM-05.1,Is the least privilege principle employed when implementing information system access?,"access control, security principles"
IAM-06.1,"Is a user access provisioning process defined and implemented which authorizes, records, and communicates data and assets access changes?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
IAM-07.1,"Is a process in place to de- provision or modify the access, in a timely manner, of movers / leavers or system identity changes, to effectively adopt and communicate identity and access management policies?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
IAM-08.1,Are reviews and revalidation of user access for least privilege and separation of duties completed with a frequency commensurate with organizational risk tolerance?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
IAM-09.1,"Are processes, procedures, and technical measures for the segregation of privileged access roles defined, implemented, and evaluated such that administrative data access, encryption, key management capabilities, and logging capabilities are distinct and separate?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
IAM-10.1,Is an access process defined and implemented to ensure privileged access roles and rights are granted for a limited period?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
IAM-10.2,Are procedures implemented to prevent the culmination of segregated privileged access?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
IAM-11.1,"Are processes and procedures for customers to participate, where applicable, in granting access for agreed, high risk as (defined by the organizational risk assessment) privileged access roles defined, implemented and evaluated?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
